"Date_Time","Pollutant","Unit","Station","Instrument","Average"
"04/13/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/13/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/13/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/13/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/13/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/13/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/13/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/13/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/13/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/13/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/13/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/13/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/13/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/13/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/14/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/14/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/14/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/14/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/14/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/14/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/14/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/14/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/14/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/14/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/14/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/14/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/14/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/14/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/14/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/14/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/14/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/14/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","9"
"04/14/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","8"
"04/14/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","8"
"04/14/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","8"
"04/14/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","8"
"04/14/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","9"
"04/14/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","12"
"04/15/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","11"
"04/15/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","8"
"04/15/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/15/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/15/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","11"
"04/15/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/15/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/15/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","9"
"04/15/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","16"
"04/15/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","19"
"04/15/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","22"
"04/15/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/15/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/15/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/15/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/15/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/15/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/15/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/15/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/15/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/15/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/15/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/15/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/15/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","10"
"04/16/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","8"
"04/16/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/16/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/16/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/16/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/16/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/16/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/16/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/16/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/16/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/16/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/17/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/17/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/17/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/17/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/17/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/17/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/17/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/17/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/17/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/17/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/17/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/17/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/17/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/17/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
