"Date_Time","Pollutant","Unit","Station","Instrument","Average"
"06/18/2001 11:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","10"
"06/18/2001 12:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","7"
"06/18/2001 01:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","6"
"06/18/2001 02:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","13"
"06/18/2001 03:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","14"
"06/18/2001 04:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","17"
"06/18/2001 05:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","3"
"06/18/2001 06:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","3"
"06/18/2001 07:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","5"
"06/18/2001 08:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","7"
"06/18/2001 09:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","5"
"06/18/2001 10:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","6"
"06/18/2001 11:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","6"
"06/18/2001 12:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","6"
"06/19/2001 01:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","6"
"06/19/2001 02:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","4"
"06/19/2001 03:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","2"
"06/19/2001 04:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","2"
"06/19/2001 05:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","5"
"06/19/2001 06:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","3"
"06/19/2001 07:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","5"
"06/19/2001 08:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","9"
"06/19/2001 09:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","5"
"06/19/2001 10:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","1"
"06/19/2001 11:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","2"
"06/19/2001 12:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","5"
"06/19/2001 01:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","4"
"06/19/2001 02:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","4"
"06/19/2001 03:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","3"
"06/19/2001 04:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","4"
"06/19/2001 05:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","4"
"06/19/2001 06:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","5"
"06/19/2001 07:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","14"
"06/19/2001 08:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","8"
"06/19/2001 09:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","8"
"06/19/2001 10:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","13"
"06/19/2001 11:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","17"
"06/19/2001 12:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","17"
"06/20/2001 01:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","13"
"06/20/2001 02:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","12"
"06/20/2001 03:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","11"
"06/20/2001 04:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","12"
"06/20/2001 05:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","12"
"06/20/2001 06:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","13"
"06/20/2001 07:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","17"
"06/20/2001 08:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","21"
"06/20/2001 09:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","22"
"06/20/2001 10:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","24"
"06/20/2001 11:00:00 AM","PM2.5","µg/m3","Lake Major","TEOM","25"
"06/20/2001 12:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","27"
"06/20/2001 01:00:00 PM","PM2.5","µg/m3","Lake Major","TEOM","28"
