"Date_Time","Pollutant","Unit","Station","Instrument","Average"
"01/28/2010 11:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","16.7"
"11/12/2010 04:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","11"
"11/12/2010 05:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","12"
"11/12/2010 06:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","17"
"11/12/2010 07:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","22"
"11/12/2010 08:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","26"
"11/12/2010 09:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","25"
"11/12/2010 10:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","27"
"11/12/2010 11:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","40"
"11/12/2010 12:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","39"
"11/13/2010 01:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","36"
"11/13/2010 02:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","32"
"11/13/2010 03:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","26"
"11/13/2010 04:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","22"
"11/13/2010 05:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","18"
"11/13/2010 06:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","18"
"11/13/2010 07:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","11"
"11/13/2010 08:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","18"
"11/13/2010 09:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","14"
"11/13/2010 10:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","15"
"11/13/2010 11:00:00 AM","PM2.5","µg/m3","Sydney","BAM1020","5"
"11/13/2010 12:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","5"
"11/13/2010 01:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","6"
"11/13/2010 02:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","5"
"11/13/2010 03:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","5"
"11/13/2010 04:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","7"
"11/13/2010 05:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","11"
"11/13/2010 06:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","16"
"11/13/2010 07:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","13"
"11/13/2010 08:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","11"
"11/13/2010 09:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","11"
"11/13/2010 10:00:00 PM","PM2.5","µg/m3","Sydney","BAM1020","15"
