"Date_Time","Pollutant","Unit","Station","Instrument","Average"
"07/24/1998 03:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","24"
"07/24/1998 04:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","9"
"07/24/1998 05:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","31"
"07/24/1998 06:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","28"
"07/24/1998 07:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","22"
"07/24/1998 08:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","22"
"07/24/1998 09:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","23"
"07/24/1998 10:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","24"
"07/24/1998 11:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","27"
"07/24/1998 12:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","28"
"07/25/1998 01:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","27"
"07/25/1998 02:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","27"
"07/25/1998 03:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","26"
"07/25/1998 04:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","23"
"07/25/1998 05:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","18"
"07/25/1998 06:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","19"
"07/25/1998 07:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","16"
"07/25/1998 08:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","11"
"07/25/1998 09:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","6"
"07/25/1998 10:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","6"
"07/25/1998 11:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","5"
"07/25/1998 12:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","5"
"07/25/1998 01:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","3"
"07/25/1998 02:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","4"
"07/25/1998 03:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","5"
"07/25/1998 04:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","6"
"07/25/1998 05:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","5"
"07/25/1998 06:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","6"
"07/25/1998 07:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","7"
"07/25/1998 08:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","7"
"07/25/1998 09:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","8"
"07/25/1998 10:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","7"
"07/25/1998 11:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","7"
"07/25/1998 12:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","7"
"07/26/1998 01:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","8"
"07/26/1998 02:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","8"
"07/26/1998 03:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","8"
"07/26/1998 04:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","8"
"07/26/1998 05:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","8"
"07/26/1998 06:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","9"
"07/26/1998 07:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","10"
"07/26/1998 08:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","9"
"07/26/1998 09:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","7"
"07/26/1998 10:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","6"
"07/26/1998 11:00:00 AM","PM2.5","µg/m3","Sydney","TEOM","6"
"07/26/1998 12:00:00 PM","PM2.5","µg/m3","Sydney","TEOM","6"
